2022-05-10 22:05:40,828 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-05-10 22:05:40,890 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-05-10 22:05:40,893 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2022-05-10 22:05:40,894 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2022-05-10 22:05:40,897 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-05-10 22:05:40,898 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-05-10 22:05:40,900 INFO  SwAddin.cs: 201 - Setting up command manager
2022-05-10 22:05:40,900 INFO  SwAddin.cs: 204 - Adding command manager
2022-05-10 22:05:40,905 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-05-10 22:05:40,906 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-05-10 22:05:40,907 INFO  SwAddin.cs: 210 - Adding event handlers
2022-05-10 22:05:40,914 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-05-11 00:06:59,072 INFO  SwAddin.cs: 294 - Assembly export called for file servo
2022-05-11 00:07:01,918 INFO  SwAddin.cs: 313 - Saving assembly
2022-05-11 00:07:02,201 INFO  SwAddin.cs: 316 - Opening property manager
2022-05-11 00:07:02,281 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from servo
2022-05-11 00:07:02,293 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:07:02,294 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in servo
2022-05-11 00:07:02,295 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:07:02,297 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:07:02,299 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2022-05-11 00:07:02,300 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:07:02,301 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2022-05-11 00:07:02,301 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from puntero-1
2022-05-11 00:07:02,302 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:07:02,303 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in puntero-1
2022-05-11 00:07:02,304 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from servo
2022-05-11 00:07:02,304 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:07:02,305 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in servo
2022-05-11 00:07:02,305 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:07:02,305 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:07:02,306 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2022-05-11 00:07:02,355 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:07:02,356 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2022-05-11 00:07:02,358 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from puntero-1
2022-05-11 00:07:02,361 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:07:02,363 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in puntero-1
2022-05-11 00:07:02,761 INFO  SwAddin.cs: 339 - Loading config tree
2022-05-11 00:07:02,765 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-05-11 00:07:02,769 INFO  SwAddin.cs: 344 - Showing property manager
2022-05-11 00:08:16,723 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:08:28,388 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:08:47,859 INFO  ExportPropertyManager.cs: 416 - Configuration canceled
2022-05-11 00:08:48,325 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:08:51,512 INFO  SwAddin.cs: 294 - Assembly export called for file servo
2022-05-11 00:08:52,798 INFO  SwAddin.cs: 313 - Saving assembly
2022-05-11 00:08:52,916 INFO  SwAddin.cs: 316 - Opening property manager
2022-05-11 00:08:52,917 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from servo
2022-05-11 00:08:52,918 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:08:52,919 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in servo
2022-05-11 00:08:52,920 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:08:52,921 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:08:52,922 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2022-05-11 00:08:52,923 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:08:52,924 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2022-05-11 00:08:52,925 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from puntero-1
2022-05-11 00:08:52,926 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:08:52,927 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in puntero-1
2022-05-11 00:08:52,928 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from servo
2022-05-11 00:08:52,929 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:08:52,930 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in servo
2022-05-11 00:08:52,931 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:08:52,932 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:08:52,932 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2022-05-11 00:08:52,933 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:08:52,934 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2022-05-11 00:08:52,935 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from puntero-1
2022-05-11 00:08:52,936 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:08:52,937 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in puntero-1
2022-05-11 00:08:52,984 INFO  SwAddin.cs: 339 - Loading config tree
2022-05-11 00:08:52,985 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-05-11 00:08:52,989 INFO  SwAddin.cs: 344 - Showing property manager
2022-05-11 00:09:04,619 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:09:19,769 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-05-11 00:09:20,042 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:10:56,729 INFO  SwAddin.cs: 294 - Assembly export called for file servo
2022-05-11 00:10:56,730 INFO  SwAddin.cs: 299 - Save is required
2022-05-11 00:10:56,730 INFO  SwAddin.cs: 313 - Saving assembly
2022-05-11 00:10:57,050 INFO  SwAddin.cs: 316 - Opening property manager
2022-05-11 00:10:57,051 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from servo
2022-05-11 00:10:57,052 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:10:57,053 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in servo
2022-05-11 00:10:57,054 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:10:57,055 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:10:57,056 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2022-05-11 00:10:57,057 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:10:57,058 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2022-05-11 00:10:57,059 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from puntero-1
2022-05-11 00:10:57,060 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:10:57,062 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in puntero-1
2022-05-11 00:10:57,062 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from servo
2022-05-11 00:10:57,064 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:10:57,065 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in servo
2022-05-11 00:10:57,066 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:10:57,067 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:10:57,068 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2022-05-11 00:10:57,069 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:10:57,071 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
